ts,container,mem_mb,mem_pct,cpu_pct
1776550414,mft-keystore-manager,701.5,78.29,0.63
1776550414,mft-ftp-web-service,645.6,72.06,0.43
1776550414,mft-analytics-service,690.5,77.06,0.44
1776550414,mft-config-service,638.7,71.29,11.93
1776550414,mft-gateway-service,622.5,69.48,0.41
1776550414,mft-grafana,59.8,0.25,0.07
1776550414,mft-encryption-service,664.2,74.13,0.62
1776550414,mft-promtail,57.0,0.24,0.77
1776550414,mft-postgres,255.8,1.07,1.84
1776550414,mft-rabbitmq,161.8,0.67,0.67
1776550414,mft-redis,10.9,0.05,0.43
1776550414,mft-prometheus,75.5,0.31,1.43
1776550414,mft-spire-server,33.5,0.14,0.29
1776550414,mft-loki,204.4,0.85,0.30
1776550414,mft-alertmanager,20.7,0.09,0.07
1776550414,mft-vault,140.5,0.59,13.79
1776550414,mft-redpanda,182.5,0.76,0.20
1776550476,mft-api-gateway,14.7,0.06,0.81
1776550476,mft-edi-converter,212.1,23.68,0.10
1776550476,mft-ui-service,9.3,0.04,0.02
1776550476,mft-dmz-proxy-internal,251.1,1.05,0.21
1776550476,mft-ftp-web-ui,8.4,0.04,0.00
1776550476,mft-partner-portal,9.0,0.04,0.00
1776550476,mft-spire-agent,35.0,0.15,0.06
1776550476,mft-notification-service,505.2,56.38,10.93
1776550476,mft-platform-sentinel,674.9,75.33,0.52
1776550476,mft-ai-engine,681.5,76.06,0.41
1776550476,mft-sftp-service,716.8,80.00,1.86
1776550476,mft-license-service,621.6,69.38,5.96
1776550476,mft-ftp-service,665.8,74.31,0.80
1776550476,mft-screening-service,679.0,75.78,3.08
1776550476,mft-forwarder-service,667.7,74.52,0.32
1776550476,mft-as2-service,647.7,2.70,2.34
1776550476,mft-onboarding-api,674.3,75.26,1.80
1776550476,mft-storage-manager,565.1,63.07,3.15
1776550476,mft-keystore-manager,701.9,78.34,2.34
1776550476,mft-ftp-web-service,646.0,72.10,3.34
1776550476,mft-analytics-service,690.6,77.08,0.80
1776550476,mft-config-service,638.9,71.30,0.99
1776550476,mft-gateway-service,623.1,69.54,0.56
1776550476,mft-grafana,59.8,0.25,0.95
1776550476,mft-encryption-service,664.5,74.17,8.81
1776550476,mft-promtail,57.0,0.24,0.50
1776550476,mft-postgres,235.4,0.98,3.53
1776550476,mft-rabbitmq,163.8,0.68,0.28
1776550476,mft-redis,11.0,0.05,0.58
1776550476,mft-prometheus,76.5,0.32,0.44
1776550476,mft-spire-server,33.7,0.14,0.21
1776550476,mft-loki,201.7,0.84,0.67
1776550476,mft-alertmanager,20.7,0.09,0.06
1776550476,mft-vault,140.5,0.59,0.48
1776550476,mft-redpanda,182.5,0.76,0.18
1776550540,mft-api-gateway,14.7,0.06,1.00
1776550540,mft-edi-converter,212.2,23.68,1.83
1776550540,mft-ui-service,9.3,0.04,0.03
